text;from;to;moment
de Bandol à Le Breuil sur couze;Bandol;Le Breuil sur couze;
ils veulent aller de Aixe sur vienne jusqu'à Gan;Aixe sur vienne;Gan;
de Olonne sur mer à Gresswiller;Olonne sur mer;Gresswiller;
Je cherche un train La Fouillouse Wisches;La Fouillouse;Wisches;
Je cherche un trajet de Saint martin du mont à Montigny en ostrevent;Saint martin du mont;Montigny en ostrevent;
le départ et l'arrivée de mon voyage sont Franxault et Saint pierre du vauvray;Franxault;Saint pierre du vauvray;
Emmène moi de Fréteval à Gilly sur loire;Fréteval;Gilly sur loire;
Je prends le train Margaux Saint hilaire au temple;Margaux;Saint hilaire au temple;
itinéraire jusqu'a Besancon en partant de Arleux;Arleux;Besancon;
Ma destination et ma provenance sont Bonnemain et Valognes;Valognes;Bonnemain;
Comment aller de Plouagat à Hardricourt;Plouagat;Hardricourt;
ils veulent aller de La Verpillière jusqu'à La Chartre sur le loir;La Verpillière;La Chartre sur le loir;
je viens de Aixe sur vienne et je veux aller à Montbrison;Aixe sur vienne;Montbrison;
Je cherche un trajet de Cosne cours sur loire à Mundolsheim dans une heure;Cosne cours sur loire;Mundolsheim;dans une heure
train Saint gildas des bois Rombas dans deux heures;Saint gildas des bois;Rombas;dans deux heures
Guide moi de Juziers vers Le Puiset;Juziers;Le Puiset;
je viens de Languenan et je veux aller à Puybrun;Languenan;Puybrun;
Le train Saint denis Chateaudun;Saint denis;Chateaudun;
Je pars de Auterive pour aller à Saint ouen l'aumone;Auterive;Saint ouen l'aumone;
Indique moi le chemin pour Champagné depuis Le Péage de roussillon;Le Péage de roussillon;Champagné;
Je pars dimanche de Harfleur pour aller à Orgerus;Harfleur;Orgerus;dimanche
Guide moi de La Guerche sur l'aubois vers Albi;La Guerche sur l'aubois;Albi;
Servas depuis Mortiers;Mortiers;Servas;
itinéraire Bricon Vichy;Bricon;Vichy;
Je suis actuellement à La Verriere et j'aimerais partir à Monnaie;La Verriere;Monnaie;
Je pars samedi après midi de Aumont aubrac pour aller à Grésy sur isère;Aumont aubrac;Grésy sur isère;samedi après-midi
lundi après midi je partirais de Magland pour aller à Engenville;Magland;Engenville;lundi après-midi
Je voudrais aller de Montpellier à Chessy;Montpellier;Chessy;
je veux partir de Bournoncle saint pierre pour Noisy le sec;Bournoncle saint pierre;Noisy le sec;
train Dompierre sur besbre Saumur;Dompierre sur besbre;Saumur;
dimanche Saint chéron Anché;Saint chéron;Anché;dimanche
Trouve le chemin pour Évron depuis Maintenon ;Maintenon;Évron;
Je pars de Saint denis catus pour aller à Achiet le grand lundi;Saint denis catus;Achiet le grand;lundi
Je prends le train Drulingen Hoffen;Drulingen;Hoffen;
je viens de Aulnoye aymeries et je veux aller à Vinay;Aulnoye aymeries;Vinay;
Quel trajet pour Tavaux Brion;Tavaux;Brion;
Le train Saint rabier La Meilleraie tillay;Saint rabier;La Meilleraie tillay;
je partirais de La Croix en touraine pour aller à Solignac;La Croix en touraine;Solignac;
Je cherche le train le plus rapide pour faire Pierrelaye Frévin capelle;Pierrelaye;Frévin capelle;
mercredi matin Toul Lamure sur azergues;Toul;Lamure sur azergues;mercredi matin
Je veux aller de Meru à La Bassée;Meru;La Bassée;
Je suis à Saint raphael et je souhaite me rendre à Vivonne;Saint raphael;Vivonne;
Je cherche un trajet de Port saint père à Saint pantaléon de larche;Port saint père;Saint pantaléon de larche;
arrivée Portieux et départ Écouché;Écouché;Portieux;
Comment me rendre à Moult depuis Marseille;Marseille;Moult;
Je cherche un trajet de Hoenheim à Hyeres;Hoenheim;Hyeres;
Je prends le train Tremblay en france Ecully;Tremblay en france;Ecully;
Neuvic Cormery mercredi soir;Neuvic;Cormery;mercredi soir
Je cherche le train le plus rapide pour faire Sable sur sarthe Labège mardi après midi;Sable sur sarthe;Labège;mardi après-midi
Emmène moi de Marcy l'étoile à Lérouville;Marcy l'étoile;Lérouville;
Quel est l'itinéraire entre Deauville et Panissage;Deauville;Panissage;
maintenant  je voudrais aller de Marmagne à Miraumont;Marmagne;Miraumont;maintenant
Je suis actuellement à Nomain et j'aimerais partir à Mougins;Nomain;Mougins;
Comment aller de Pontgibaud à Albi;Pontgibaud;Albi;
Je veux aller de Bolquère à Champagné;Bolquère;Champagné;
mercredi Pont de buis lès quimerch Trie château;Pont de buis lès quimerch;Trie château;mercredi
L'arrivée et le départ de mon voyage sont Vitry sur seine et Joigny sur meuse;Joigny sur meuse;Vitry sur seine;
Pont remy depuis Bessancourt;Bessancourt;Pont remy;
Trouve un train partant de Mauzac et grand castang et allant à Montchanin;Mauzac et grand castang;Montchanin;
Je quitte Laveline devant bruyères pour Chaville;Laveline devant bruyères;Chaville;
Je veux aller de Sarre union à Saint amand les eaux mercredi matin;Sarre union;Saint amand les eaux;mercredi matin
Je cherche un train Fontainebleau Viviez mercredi après midi;Fontainebleau;Viviez;mercredi après-midi
Je veux aller de Toul à Chaumont en vexin;Toul;Chaumont en vexin;
je veux partir de Cesson sevigne pour La Celle saint avant;Cesson sevigne;La Celle saint avant;
Je voudrais aller de Libourne à La Meyze jeudi;Libourne;La Meyze;jeudi
Je souhaiterai avoir des informations sur le train L'hospitalet près l'andorre Remiremont;L'hospitalet près l'andorre;Remiremont;
Je cherche le train le plus rapide pour faire Arengosse Pont du château dimanche soir;Arengosse;Pont du château;dimanche soir
Je suis actuellement à Briancon et j aimerais partir à Bayonne;Briancon;Bayonne;
Marbache depuis Pihen lès guînes;Pihen lès guînes;Marbache;
Je cherche le train le plus rapide pour faire Chantonnay Conches en ouche;Chantonnay;Conches en ouche;
dans une heure je partirais de Challans pour aller à Voreppe;Challans;Voreppe;dans une heure
Itinéraire Herchies Grisolles;Herchies;Grisolles;
Je veux aller de Magny à Audrieu jeudi matin;Magny;Audrieu;jeudi matin
itinéraire jusqu'a Noizay en partant de Saint michel de maurienne;Saint michel de maurienne;Noizay;
Chambery Saint antoine de breuilh;Chambery;Saint antoine de breuilh;
Allons à Lattes depuis Prunay;Prunay;Lattes;
train La Wantzenau Vigneux sur seine dans quatre heures;La Wantzenau;Vigneux sur seine;dans quatre heures
Je souhaiterai avoir des informations sur le train Seclin Lérouville;Seclin;Lérouville;
Quel est l'itinéraire entre Saint laurent en grandvaux et Ahun;Saint laurent en grandvaux;Ahun;
Le Bousquet d'orb depuis Éveux;Éveux;Le Bousquet d'orb;
Le train Echirolles Eygliers;Echirolles;Eygliers;
Je pars de Ballancourt sur essonne pour aller à Briare;Ballancourt sur essonne;Briare;
Le train Buchy Langon;Buchy;Langon;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Gan et gare de Massy;Gan;Massy;
Je prends le train Magny Evry;Magny;Evry;
Je veux trouver un trajet de Saint denis de l'hôtel à La Ferté alais;Saint denis de l'hôtel;La Ferté alais;
Guide moi de Baillargues vers Wissembourg;Baillargues;Wissembourg;
Je cherche le train le plus rapide pour faire Vireux molhain Gargenville;Vireux molhain;Gargenville;
Le train Tonnay charente Cholet;Tonnay charente;Cholet;
Je suis actuellement à Perrignier et j aimerais partir à Saint pierre de chignac le mois prochain;Perrignier;Saint pierre de chignac;le mois prochain
Comment me rendre à Varangéville depuis Meulan;Meulan;Varangéville;
Donne moi l'itinéraire pour aller à Xeuilley en partant de Hoffen;Hoffen;Xeuilley;
Je pars de Saint béron pour aller à Sénas;Saint béron;Sénas;
dans quatre heures je partirais de Clelles pour aller à Les Salelles;Clelles;Les Salelles;dans quatre heures
je partirais de Le Thor pour aller à Albigny sur saône;Le Thor;Albigny sur saône;
ils veulent aller de Aubiat jusqu'à Livry sur seine;Aubiat;Livry sur seine;
Quel trajet pour Teting sur nied Ingré;Teting sur nied;Ingré;
Comment aller de Méricourt l'abbé à Huriel;Méricourt l'abbé;Huriel;
je vais à Morez depuis Rennes;Rennes;Morez;
itinéraire de voyage de Dieupentale vers Villeneuve saint georges;Dieupentale;Villeneuve saint georges;
Je suis actuellement à Brionne et j aimerais partir à Vichel nanteuil dimanche;Brionne;Vichel nanteuil;dimanche
J'aimerais me rendre sur Marseillan en partant de Pontfaverger moronvilliers;Pontfaverger moronvilliers;Marseillan;
Je cherche le train le plus rapide pour faire Colombier fontaine Aiguebelle samedi;Colombier fontaine;Aiguebelle;samedi
Trouve un train partant de Pins justaret et allant à La Tour de salvagny;Pins justaret;La Tour de salvagny;
Je pars de Nérondes pour aller à Sainte genevieve des bois;Nérondes;Sainte genevieve des bois;
train Tremblay en france Buthiers;Tremblay en france;Buthiers;
Je pars de Marquette lez lille pour aller à Vigeois mardi;Marquette lez lille;Vigeois;mardi
Comment aller de Lardy à Bagneaux sur loing;Lardy;Bagneaux sur loing;
Je suis actuellement à Saint yorre et j'aimerais partir à La Bâthie;Saint yorre;La Bâthie;
train Pont melvez Ludon médoc;Pont melvez;Ludon médoc;
La ligne Chantonnay La Bâthie;Chantonnay;La Bâthie;
arrivée Saint andré de cubzac et départ Varennes sur allier;Varennes sur allier;Saint andré de cubzac;
Itiniréraire jusqu'a Plourivo depuis Jurancon;Jurancon;Plourivo;
Je quitte Onzain pour Bourg madame;Onzain;Bourg madame;
train Pont du château Stenay dimanche;Pont du château;Stenay;dimanche
itinéraire Tarascon sur ariège Clacy et thierret;Tarascon sur ariège;Clacy et thierret;
Quel est l'itinéraire entre Brioude et Chenonceaux;Brioude;Chenonceaux;
Quel est l'itinéraire entre Meximieux et Simiane collongue;Meximieux;Simiane collongue;
Je veux aller de Livron sur drôme à Saint chély d'apcher;Livron sur drôme;Saint chély d'apcher;
J'irai bien à la gare de Saint germain les belles depuis la gare de Chevaigné;Chevaigné;Saint germain les belles;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Verberie et gare de Siorac en périgord;Verberie;Siorac en périgord;
Quel trajet pour Gien Cernay;Gien;Cernay;
Je cherche un trajet de Chateaubriant à Miserey salines;Chateaubriant;Miserey salines;
ils veulent aller de Loriol sur drôme jusqu'à Saint jory;Loriol sur drôme;Saint jory;
La ligne Montdidier Saint geniès de malgoirès;Montdidier;Saint geniès de malgoirès;
Je veux aller de Saint émilion à Loubejac;Saint émilion;Loubejac;
Je voudrais aller de Saint geours de maremne à Hoenheim demain matin;Saint geours de maremne;Hoenheim;demain matin
Quel trajet pour Perigueux Gières;Perigueux;Gières;
Coursan depuis Saint gilles;Saint gilles;Coursan;
J'aimerais me rendre sur Melesse en partant de Thiais;Thiais;Melesse;
Je cherche un train Chars Sierentz la semaine prochaine;Chars;Sierentz;la semaine prochaine
je veux partir de Foucart pour Bandol;Foucart;Bandol;
Comment aller à Mérens les vals depuis Bondy;Bondy;Mérens les vals;
itinéraire jusqu'a Epernay en partant de Mauzens et miremont;Mauzens et miremont;Epernay;
Pont audemer Ceaux en couhé;Pont audemer;Ceaux en couhé;
itinéraire jusqu'a Chinon en partant de Loudéac;Loudéac;Chinon;
itinéraire jusqu'a Rungis en partant de Naucelle;Naucelle;Rungis;
itinéraire jusqu'a Annecy en partant de Roqueredonde;Roqueredonde;Annecy;
itinéraire Ruelle sur touvre Wittring;Ruelle sur touvre;Wittring;
Je me rends à Harfleur en partant de Saint jean de luz;Saint jean de luz;Harfleur;
itinéraire jusqu'a Lus la croix haute en partant de Joeuf;Joeuf;Lus la croix haute;
Guide moi de Puget ville vers Pluneret;Puget ville;Pluneret;
le départ et l'arrivée de mon voyage sont Tonnay charente et Alizay;Tonnay charente;Alizay;
le départ et l'arrivée de mon voyage sont Fosses et Saint flour;Fosses;Saint flour;
Je suis actuellement à Muhlbach sur munster et j aimerais partir à Beynes;Muhlbach sur munster;Beynes;
Je prends le train Racquinghem Pontivy;Racquinghem;Pontivy;
Ma destination et ma provenance sont Pontarlier et Baccarat;Baccarat;Pontarlier;
Comment me rendre à Brassac les mines depuis La Jonchère saint maurice;La Jonchère saint maurice;Brassac les mines;
Le train Nomain Saint andré de l'eure;Nomain;Saint andré de l'eure;
Je souhaiterai avoir des informations sur le train Saint médard sur ille Miraumont;Saint médard sur ille;Miraumont;
Quel est l'itinéraire entre Rouessé vassé et Chartrettes;Rouessé vassé;Chartrettes;
Je prends le train Coufouleux Bourbourg;Coufouleux;Bourbourg;
Je veux trouver un trajet de Vitry la ville à Valençay;Vitry la ville;Valençay;
j'aimerais partir de Marmande pour me rendre à Savy berlette;Marmande;Savy berlette;
Depuis Ingrandes à Avesnes sur helpe;Ingrandes;Avesnes sur helpe;
Quel est l'itinéraire entre Mont dore et Muille villette;Mont dore;Muille villette;
Indique moi le chemin pour Cysoing depuis Chaux des crotenay;Chaux des crotenay;Cysoing;
Je veux aller de Chantonnay à Vierzon jeudi matin;Chantonnay;Vierzon;jeudi matin
Comment aller de Mailly la ville à Servon sur vilaine samedi;Mailly la ville;Servon sur vilaine;samedi
train Valleiry Savigny le temple dans six heures;Valleiry;Savigny le temple;dans six heures
Le train Portieux Bonneval;Portieux;Bonneval;
Comment aller de Gannes à Esternay;Gannes;Esternay;
Je cherche un trajet de Bersac sur rivalier à Verberie samedi matin;Bersac sur rivalier;Verberie;samedi matin
ils veulent aller de Gundershoffen jusqu'à Maxilly sur saône;Gundershoffen;Maxilly sur saône;
Je prends le train Le Quesnoy Marcq en baroeul;Le Quesnoy;Marcq en baroeul;
dans six heures je partirais de Libourne pour aller à Ranspach;Libourne;Ranspach;dans six heures
Je suis actuellement à Ploemel et j aimerais partir à Montrabé dimanche matin;Ploemel;Montrabé;dimanche matin
train Boisville la saint père Villers sur mer;Boisville la saint père;Villers sur mer;
je vais à Saint mathurin sur loire depuis Castelsarrasin;Castelsarrasin;Saint mathurin sur loire;
Je veux me rendre à Valmont en partant de Hagetmau;Hagetmau;Valmont;
Je pars de Fontaine le port pour aller à Fourchambault;Fontaine le port;Fourchambault;
demain soir  je voudrais aller de Saint erme outre et ramecourt à La Roche sur foron;Saint erme outre et ramecourt;La Roche sur foron;demain soir
Comment aller de Saint bonnet de rochefort à Sotteville les rouen;Saint bonnet de rochefort;Sotteville les rouen;
Trouve un train partant de Esvres et allant à Saint junien;Esvres;Saint junien;
Je quitte Saint denis de pile pour Wittring;Saint denis de pile;Wittring;
Mont notre dame depuis Annemasse;Annemasse;Mont notre dame;
Comment aller de Saint senoux à Teillé;Saint senoux;Teillé;
Je suis à Béning lès saint avold et je souhaite me rendre à Peille;Béning lès saint avold;Peille;
Je quitte Libourne pour Saint mars la brière;Libourne;Saint mars la brière;
Je prends le train Mervans Istres;Mervans;Istres;
Je voudrais aller de Joinville à Le Cateau cambrésis;Joinville;Le Cateau cambrésis;
Quel trajet pour Sevran Les Eyzies de tayac sireuil;Sevran;Les Eyzies de tayac sireuil;
Je suis actuellement à Le Coudray montceaux et j aimerais partir à Campagne Château chinon samedi après midi;Le Coudray montceaux;Campagne Château chinon;samedi après-midi
Je cherche le train le plus rapide pour faire Chevry Bailleul;Chevry;Bailleul;
Quel trajet pour Dreuil lès amiens Aiguillon;Dreuil lès amiens;Aiguillon;
Je cherche un train Collonges lès premières Cantaron mardi soir;Collonges lès premières;Cantaron;mardi soir
Comment aller de Évian les bains à Campagnac jeudi;Évian les bains;Campagnac;jeudi
Je quitte Le Pont chrétien chabenet pour Beauzac;Le Pont chrétien chabenet;Beauzac;
je viens de Vichel nanteuil et je veux aller à Bezannes;Vichel nanteuil;Bezannes;
itinéraire de voyage de Laguépie vers Hazebrouck;Laguépie;Hazebrouck;
Je pars de Saint aubin pour aller à Aubrives;Saint aubin;Aubrives;
je partirais de Macon pour aller à Chorges;Macon;Chorges;
Je cherche un train Lisle sur tarn Sarreguemines lundi;Lisle sur tarn;Sarreguemines;lundi
Je cherche un trajet de Provenchères sur fave à Saint victurnien dimanche soir;Provenchères sur fave;Saint victurnien;dimanche soir
Je voudrais aller de Esclanèdes à Le Verdon sur mer;Esclanèdes;Le Verdon sur mer;
Je souhaiterai avoir des informations sur le train Bacouël Chateau gontier;Bacouël;Chateau gontier;
Je veux aller de Agen à Saillans;Agen;Saillans;
Nogent sur vernisson Landas demain matin;Nogent sur vernisson;Landas;demain matin
Itiniréraire jusqu'a Bolozon depuis Groslay;Groslay;Bolozon;
Je pars de Belloy en france pour aller à Saint maurice de beynost;Belloy en france;Saint maurice de beynost;
Je veux le trajet de Chevrières à Callac;Chevrières;Callac;
Je suis actuellement à Montdidier et j aimerais partir à Briare samedi;Montdidier;Briare;samedi
train Argentan Aigueperse;Argentan;Aigueperse;
train Le Mee sur seine Presles;Le Mee sur seine;Presles;
Je suis actuellement à Marcy l'étoile et j aimerais partir à Marly le roi;Marcy l'étoile;Marly le roi;
Ma destination et ma provenance sont Pleudihen sur rance et Les Essarts le roi;Les Essarts le roi;Pleudihen sur rance;
je partirais de Blangy sur ternoise pour aller à Pierre benite;Blangy sur ternoise;Pierre benite;
Je souhaiterai avoir des informations sur le train Montlaur Polisot;Montlaur;Polisot;
J'irai bien à la gare de Hipsheim depuis la gare de Les Cabannes;Les Cabannes;Hipsheim;
Je pars de Bueil pour aller à Mouy dimanche soir;Bueil;Mouy;dimanche soir
Je cherche le train le plus rapide pour faire Saint maclou de folleville Limay;Saint maclou de folleville;Limay;
Veigné Vendin le vieil;Veigné;Vendin le vieil;
Je cherche le train le plus rapide pour faire Écouché Saint lothain;Écouché;Saint lothain;
Je cherche le train le plus rapide pour faire Morteaux couliboeuf Dommary baroncourt demain matin;Morteaux couliboeuf;Dommary baroncourt;demain matin
Je cherche un train Viarmes Ychoux;Viarmes;Ychoux;
Je cherche un trajet de Mouzon à Cheniménil;Mouzon;Cheniménil;
Comment aller de Montlucon à Houdan;Montlucon;Houdan;
La ligne Arzembouy Penne d'agenais;Arzembouy;Penne d'agenais;
Emmène moi de Les Ormes à Calais;Les Ormes;Calais;
Je souhaiterai avoir des informations sur le train Aubiat Étigny qui part dimanche après midi;Aubiat;Étigny;dimanche après-midi
Je cherche le train le plus rapide pour faire Saâcy sur marne Sillery;Saâcy sur marne;Sillery;
je veux partir de Ris orangis pour Tarascon sur ariège;Ris orangis;Tarascon sur ariège;
Je partirais de Pont de buis lès quimerch pour aller à La Meilleraie tillay;Pont de buis lès quimerch;La Meilleraie tillay;
Itinéraire Saint jean de maurienne Noisy le roi;Saint jean de maurienne;Noisy le roi;
Je veux le trajet de Bois le roi à Saint denis catus;Bois le roi;Saint denis catus;
Je cherche le train le plus rapide pour faire Templemars Brignais aujourd'hui;Templemars;Brignais;aujourd'hui
Je cherche un train Saint erme outre et ramecourt Saint michel sur orge demain soir;Saint erme outre et ramecourt;Saint michel sur orge;demain soir
Je souhaiterai avoir des informations sur le train Garchizy Villedieu les poêles qui part dans un instant;Garchizy;Villedieu les poêles;dans un instant
jeudi matin Sarralbe Vauvert;Sarralbe;Vauvert;jeudi matin
Je cherche un trajet de Gravelines à Saint symphorien de marmagne;Gravelines;Saint symphorien de marmagne;
Comment aller de Montigny le bretonneux à Méré;Montigny le bretonneux;Méré;
Allons à Saint léger sur dheune depuis Dissay;Dissay;Saint léger sur dheune;
Je veux aller à Sarreinsming depuis Légny;Légny;Sarreinsming;
Je quitte Vergigny pour Pithiviers;Vergigny;Pithiviers;
Je voudrais aller de Saint denis catus à Ruffey lès echirey vendredi soir;Saint denis catus;Ruffey lès echirey;vendredi soir
La ligne Épernon Grésy sur aix;Épernon;Grésy sur aix;
La ligne Étigny Lesparre médoc;Étigny;Lesparre médoc;
Vic la gardiole depuis Salomé;Salomé;Vic la gardiole;
Je suis actuellement à Thiviers et j aimerais partir à La Chartre sur le loir le mois prochain;Thiviers;La Chartre sur le loir;le mois prochain
Je pars de Saint médard de guizières pour aller à Peille samedi après midi;Saint médard de guizières;Peille;samedi après-midi
itinéraire Bourron marlotte Fontenay le comte;Bourron marlotte;Fontenay le comte;
Je cherche un train Saint germain en laye Remy jeudi après midi;Saint germain en laye;Remy;jeudi après-midi
Depuis Quédillac à Roye;Quédillac;Roye;
Je suis à Fontainebleau et je veux aller à Pleyber christ;Fontainebleau;Pleyber christ;
Comment aller à Vigeois depuis Saint seurin sur l'isle;Saint seurin sur l'isle;Vigeois;
Je veux aller de Saint paul de fenouillet à Mériel dans deux heures;Saint paul de fenouillet;Mériel;dans deux heures
J'irai bien à la gare de Auch depuis la gare de Lamonzie saint martin;Lamonzie saint martin;Auch;
Itiniréraire jusqu'a Vergèze depuis Beaulieu sur mer;Beaulieu sur mer;Vergèze;
Le train Boulogne sur mer Luce;Boulogne sur mer;Luce;
je vais à Maurs depuis Igney;Igney;Maurs;
Depuis Louveciennes à Champs sur yonne;Louveciennes;Champs sur yonne;
Saint omer en chaussée Chauny dans un moment;Saint omer en chaussée;Chauny;dans un moment
Je cherche le train le plus rapide pour faire Bourgoin jallieu Lesparre médoc;Bourgoin jallieu;Lesparre médoc;
Je cherche un train Lunas Pontgouin;Lunas;Pontgouin;
demain  je vais à Mussidan depuis Gretz armainvilliers;Gretz armainvilliers;Mussidan;demain
Je suis actuellement à Devecey et j aimerais partir à Fuveau;Devecey;Fuveau;
Je partirais de Longwy pour aller à Aubrives;Longwy;Aubrives;
Je cherche le train le plus rapide pour faire Maule Semur en auxois;Maule;Semur en auxois;
Je voudrais aller de Saint médard sur ille à Gaillac;Saint médard sur ille;Gaillac;
Je pars de Neuves maisons pour aller à Jarrie;Neuves maisons;Jarrie;
Je suis à Briare et je souhaite me rendre à Civray;Briare;Civray;
Je pars de Glos sur risle pour aller à Mesves sur loire;Glos sur risle;Mesves sur loire;
Je prends le train Gambsheim Palaiseau dimanche soir;Gambsheim;Palaiseau;dimanche soir
Quel est l'itinéraire entre Damiatte et Ingwiller;Damiatte;Ingwiller;
Itiniréraire jusqu'a La Courneuve depuis Leval;Leval;La Courneuve;
itinéraire La Bassée Brunoy;La Bassée;Brunoy;
Emmène moi de Hamelincourt à Senozan;Hamelincourt;Senozan;
j'aimerais partir de Saint denis catus pour me rendre à Gagny;Saint denis catus;Gagny;
le départ et l'arrivée de mon voyage sont Jonzac et Martres tolosane;Jonzac;Martres tolosane;
Je cherche un train Corbie Chavanges;Corbie;Chavanges;
Je cherche un train Châteauneuf de gadagne Condom lundi soir;Châteauneuf de gadagne;Condom;lundi soir
je partirais de Saint remy en l'eau pour aller à Saint malo;Saint remy en l'eau;Saint malo;
Je cherche un trajet de Arengosse à Mouchard maintenant;Arengosse;Mouchard;maintenant
Je suis actuellement à Champagné et j aimerais partir à Saint aunès demain;Champagné;Saint aunès;demain
Je me rends à Poliénas en partant de Vulaines sur seine;Vulaines sur seine;Poliénas;
Je pars de Suresnes pour aller à Bresles;Suresnes;Bresles;
Donne moi l'itinéraire pour aller à Montrond les bains en partant de Ruffey lès echirey;Ruffey lès echirey;Montrond les bains;
Je cherche un train Valmy Carentan;Valmy;Carentan;
Le train La Ferte bernard Creteil;La Ferte bernard;Creteil;
Ma provenance et ma destination sont Fleurieux sur l'arbresle et Arcachon;Fleurieux sur l'arbresle;Arcachon;
Je pars de Longueville sur scie pour aller à Assat;Longueville sur scie;Assat;
Quel est l'itinéraire entre Montreuil sur ille et Souppes sur loing;Montreuil sur ille;Souppes sur loing;
Je quitte Grasse pour Saint pierre lès nemours;Grasse;Saint pierre lès nemours;
Je suis actuellement à Château l'évêque et j aimerais partir à Chamalières sur loire;Château l'évêque;Chamalières sur loire;
Je suis à Boves et je veux aller à Veynes;Boves;Veynes;
itinéraire de voyage de Sézanne vers Franconville;Sézanne;Franconville;
Je pars de Modane pour aller à Issou;Modane;Issou;
je partirais de Saint léonard de noblat pour aller à Cercy la tour;Saint léonard de noblat;Cercy la tour;
Je suis à Roeulx et je souhaite me rendre à Geispolsheim;Roeulx;Geispolsheim;
Comment me rendre à Chocques depuis Port vendres;Port vendres;Chocques;
j'aimerais me rendre à Briare en quittant Étival clairefontaine;Étival clairefontaine;Briare;
Quel trajet pour Épehy Lure;Épehy;Lure;
Depuis Pléchâtel à Collonges;Pléchâtel;Collonges;
train Beynost Vivy dans six heures;Beynost;Vivy;dans six heures
Guide moi de Bersac sur rivalier vers Bouaye;Bersac sur rivalier;Bouaye;
Allons à Billy montigny depuis Château arnoux saint auban;Château arnoux saint auban;Billy montigny;
Je cherche un trajet de Cambo les bains à Sevran aujourd'hui;Cambo les bains;Sevran;aujourd'hui
La ligne Cognac Artenay;Cognac;Artenay;
Je pars de Vergigny pour aller à Rive de gier;Vergigny;Rive de gier;
Emmène moi de Jaux à Selommes;Jaux;Selommes;
de Labruguière à Metzeral;Labruguière;Metzeral;
Je veux aller de Mareuil sur ourcq à Saint raphael;Mareuil sur ourcq;Saint raphael;
Lagnieu Saint cyr en val;Lagnieu;Saint cyr en val;
Je veux trouver un trajet de Morgny la pommeraye à Oloron sainte marie;Morgny la pommeraye;Oloron sainte marie;
Je souhaite le chemin le plus rapide entre les deux gares suivantes gare de Saint martory et gare de Penne d'agenais;Saint martory;Penne d'agenais;
Je pars de Magny pour aller à Beuvry dans six heures;Magny;Beuvry;dans six heures
Itiniréraire jusqu'a Saint ouen l'aumone depuis Riedseltz;Riedseltz;Saint ouen l'aumone;
Prades Avon;Prades;Avon;
Quel est l'itinéraire entre Le Teil et Durtol;Le Teil;Durtol;
Je cherche le train le plus rapide pour faire Pontgouin Montdidier;Pontgouin;Montdidier;
trajet Autet Gertwiller;Autet;Gertwiller;
arrivée Cessieu et départ Roncenay;Roncenay;Cessieu;
Je voudrais aller de Crepy en valois à Morez;Crepy en valois;Morez;
L'arrivée et le départ de mon voyage sont Vayrac et Saint martin de crau;Saint martin de crau;Vayrac;
Je souhaiterai avoir des informations sur le train Voves Besancon qui part dans une heure;Voves;Besancon;dans une heure
je partirais de Buzy darmont pour aller à Ustaritz;Buzy darmont;Ustaritz;
Je suis actuellement à Portes lès valence et j aimerais partir à Tournus vendredi soir;Portes lès valence;Tournus;vendredi soir
trajet Jonzac Puy guillaume;Jonzac;Puy guillaume;
L'arrivée et le départ de mon voyage sont Viviers du lac et Chemillé;Chemillé;Viviers du lac;
J'irai bien à la gare de Lumes depuis la gare de Saint laurent de la prée;Saint laurent de la prée;Lumes;
train Cheilly lès maranges Le Buisson de cadouin;Cheilly lès maranges;Le Buisson de cadouin;
Je cherche un trajet de Valdahon à Civrieux d'azergues;Valdahon;Civrieux d'azergues;
Je quitte Saint cyr sur mer pour Mézériat;Saint cyr sur mer;Mézériat;
Je souhaiterai avoir des informations sur le train Martigny les bains Le Quesnoy qui part jeudi soir;Martigny les bains;Le Quesnoy;jeudi soir
le départ et l'arrivée de mon voyage sont Archignat et Cérons;Archignat;Cérons;
Donne moi l'itinéraire pour aller à Saint pellerin en partant de Besancon;Besancon;Saint pellerin;
Je suis actuellement à Avesnes sur helpe et j aimerais partir à La Verriere;Avesnes sur helpe;La Verriere;
dimanche soir  je vais à Steinbourg depuis Creil;Creil;Steinbourg;dimanche soir
je partirais de Abbaretz pour aller à Viam;Abbaretz;Viam;
Je partirais de Luzy pour aller à Abbaretz;Luzy;Abbaretz;
Je veux aller de Méricourt l'abbé à Montry;Méricourt l'abbé;Montry;
Je cherche un trajet de Aubigny sur nère à Noyant de touraine mercredi soir;Aubigny sur nère;Noyant de touraine;mercredi soir
demain matin  je voudrais aller de Saumur à Hennebont;Saumur;Hennebont;demain matin
Quel est l'itinéraire entre Rambouillet et Fos sur mer;Rambouillet;Fos sur mer;
Val de reuil Port la nouvelle;Val de reuil;Port la nouvelle;
Je pars jeudi de Portets pour aller à Perrignier;Portets;Perrignier;jeudi
mercredi après midi  je voudrais aller de Saint maur à Prades;Saint maur;Prades;mercredi après-midi
Je cherche le train le plus rapide pour faire Longvic Bagneaux sur loing;Longvic;Bagneaux sur loing;
Comment aller de Gannat à Mazingarbe vendredi soir;Gannat;Mazingarbe;vendredi soir
Je suis actuellement à Noyal sur vilaine et j aimerais partir à Isbergues;Noyal sur vilaine;Isbergues;
Sausset les pins depuis Cantin;Cantin;Sausset les pins;
